order_item_id,order_id,product_id,quantity,unit_price,cost_price,discount_pct,tax_amount,shipping_fee,is_refunded
ITEM000001,ORD02667,PROD005,4,1420.47,774,0.15,1022.74,0,False
ITEM000002,ORD00550,PROD007,2,3025.92,1449,0.1,1089.33,0,False
ITEM000003,ORD00646,PROD022,3,526.43,377,0.0,284.27,40,False
ITEM000004,ORD01245,PROD047,4,2465.74,1799,0.1,1775.33,40,False
ITEM000005,ORD02550,PROD004,1,752.0,464,0.05,135.36,100,False
ITEM000006,ORD00846,PROD032,4,933.84,623,0.0,672.36,60,False
ITEM000007,ORD02101,PROD019,2,2758.41,1345,0.1,993.03,60,False
ITEM000008,ORD00450,PROD045,3,840.7,384,0.05,453.98,0,False
ITEM000009,ORD02110,PROD033,3,1502.15,1017,0.05,811.16,0,False
ITEM000010,ORD00044,PROD001,1,1746.41,799,0.05,314.35,60,False
ITEM000011,ORD02868,PROD046,2,1641.48,815,0.05,590.93,100,False
ITEM000012,ORD01582,PROD041,4,943.33,405,0.0,679.2,0,False
ITEM000013,ORD00659,PROD044,1,1806.4,786,0.15,325.15,100,False
ITEM000014,ORD00728,PROD050,3,2095.72,1047,0.0,1131.69,0,False
ITEM000015,ORD02900,PROD041,4,943.33,405,0.15,679.2,0,False
ITEM000016,ORD02095,PROD008,1,1007.3,566,0.0,181.31,0,False
ITEM000017,ORD02868,PROD032,4,933.84,623,0.0,672.36,0,False
ITEM000018,ORD01048,PROD030,4,504.05,291,0.05,362.92,60,False
ITEM000019,ORD01681,PROD046,1,1641.48,815,0.0,295.47,0,True
ITEM000020,ORD02137,PROD028,4,2252.23,1447,0.1,1621.6,100,False
ITEM000021,ORD01198,PROD041,4,943.33,405,0.0,679.2,40,False
ITEM000022,ORD01143,PROD032,2,933.84,623,0.05,336.18,0,False
ITEM000023,ORD02783,PROD025,2,3468.6,1987,0.0,1248.7,60,True
ITEM000024,ORD01692,PROD034,3,620.24,500,0.0,334.93,0,False
ITEM000025,ORD02226,PROD033,2,1502.15,1017,0.0,540.77,60,False
ITEM000026,ORD01856,PROD013,1,1902.92,1347,0.05,342.53,0,False
ITEM000027,ORD01948,PROD025,4,3468.6,1987,0.05,2497.39,0,False
ITEM000028,ORD01366,PROD042,3,3077.94,1393,0.05,1662.09,40,False
ITEM000029,ORD02949,PROD040,2,445.33,309,0.2,160.32,100,False
ITEM000030,ORD00438,PROD039,4,3056.1,1243,0.05,2200.39,40,False
ITEM000031,ORD01452,PROD044,1,1806.4,786,0.15,325.15,40,False
ITEM000032,ORD00426,PROD049,4,3236.09,1350,0.0,2329.98,60,False
ITEM000033,ORD00968,PROD044,1,1806.4,786,0.0,325.15,0,True
ITEM000034,ORD01405,PROD048,4,1070.85,862,0.0,771.01,60,False
ITEM000035,ORD00486,PROD010,3,3939.1,1578,0.0,2127.11,0,True
