order_id,order_date,customer_id,payment_status,fulfillment_status,channel
ORD00001,2024-07-11,CUST0218,Paid,Shipped,Amazon Ads
ORD00002,2024-06-10,CUST0002,Paid,Shipped,Direct
ORD00003,2023-06-02,CUST0178,Paid,Shipped,Google Ads
ORD00004,2023-07-25,CUST0396,Paid,Shipped,Direct
ORD00005,2024-03-30,CUST0371,Paid,Delivered,Instagram
ORD00006,2023-09-30,CUST0346,Paid,Returned,Flipkart Ads
ORD00007,2023-08-24,CUST0279,Paid,Shipped,Flipkart Ads
ORD00008,2024-06-04,CUST0146,Paid,Shipped,Flipkart Ads
ORD00009,2024-11-08,CUST0318,Paid,Shipped,Amazon Ads
ORD00010,2024-12-26,CUST0224,Paid,Shipped,Amazon Ads
ORD00011,2024-05-15,CUST0369,Paid,Shipped,Google Ads
ORD00012,2023-04-27,CUST0384,Paid,Shipped,Flipkart Ads
ORD00013,2024-01-21,CUST0062,Paid,Shipped,Google Ads
ORD00014,2023-12-10,CUST0294,Paid,Shipped,Flipkart Ads
ORD00015,2024-08-06,CUST0239,Paid,Shipped,Amazon Ads
ORD00016,2024-01-30,CUST0195,Paid,Shipped,Instagram
ORD00017,2023-03-05,CUST0166,Paid,Delivered,Instagram
ORD00018,2024-12-17,CUST0451,Paid,Shipped,Instagram
ORD00019,2024-12-21,CUST0222,Paid,Delivered,Direct
ORD00020,2023-03-13,CUST0061,Paid,Shipped,Instagram
ORD00021,2023-10-01,CUST0129,Paid,Shipped,Email
ORD00022,2023-11-16,CUST0478,Paid,Shipped,Flipkart Ads
ORD00023,2023-12-04,CUST0173,Paid,Shipped,Instagram
ORD00024,2024-01-01,CUST0480,Paid,Shipped,Email
ORD00025,2024-05-09,CUST0156,Paid,Shipped,Email
ORD00026,2024-08-29,CUST0405,Paid,Shipped,Email
ORD00027,2023-06-15,CUST0378,Paid,Shipped,Google Ads
ORD00028,2024-06-27,CUST0110,Paid,Shipped,Google Ads
ORD00029,2023-01-11,CUST0269,Paid,Shipped,Email
ORD00030,2023-10-28,CUST0411,Paid,Shipped,Direct
ORD00031,2024-12-29,CUST0356,Paid,Returned,Instagram
ORD00032,2023-04-12,CUST0391,Paid,Shipped,Flipkart Ads
ORD00033,2024-02-29,CUST0278,Paid,Shipped,Direct
ORD00034,2024-01-27,CUST0074,Paid,Shipped,Amazon Ads
ORD00035,2023-08-02,CUST0487,Paid,Shipped,Google Ads
ORD00036,2024-11-21,CUST0437,Paid,Shipped,Instagram
ORD00037,2023-03-29,CUST0463,Paid,Shipped,Instagram
ORD00038,2024-07-06,CUST0207,Paid,Shipped,Amazon Ads
ORD00039,2024-02-05,CUST0388,Paid,Shipped,Amazon Ads
ORD00040,2024-08-10,CUST0480,Paid,Shipped,Instagram
ORD00041,2023-02-15,CUST0279,Paid,Shipped,Amazon Ads
ORD00042,2024-11-02,CUST0375,Paid,Returned,Instagram
ORD00043,2024-04-07,CUST0326,Paid,Shipped,Direct
ORD00044,2024-08-14,CUST0472,Paid,Shipped,Amazon Ads
ORD00045,2023-11-06,CUST0340,Pending,Shipped,Direct
ORD00046,2023-03-27,CUST0357,Paid,Shipped,Direct
ORD00047,2023-04-02,CUST0340,Paid,Returned,Amazon Ads
ORD00048,2024-10-21,CUST0204,Paid,Delivered,Instagram
ORD00049,2024-11-03,CUST0161,Paid,Shipped,Email
ORD00050,2024-12-14,CUST0028,Paid,Shipped,Instagram
ORD00051,2023-08-30,CUST0392,Paid,Shipped,Flipkart Ads
ORD00052,2023-01-02,CUST0257,Paid,Shipped,Amazon Ads
ORD00053,2023-08-13,CUST0165,Failed,Shipped,Google Ads
ORD00054,2024-08-11,CUST0063,Paid,Delivered,Amazon Ads
ORD00055,2023-04-26,CUST0022,Paid,Returned,Flipkart Ads
ORD00056,2024-10-27,CUST0070,Paid,Returned,Direct
ORD00057,2023-04-13,CUST0381,Paid,Shipped,Google Ads
ORD00058,2023-07-13,CUST0405,Paid,Shipped,Google Ads
ORD00059,2023-06-15,CUST0096,Paid,Shipped,Instagram
ORD00060,2023-03-31,CUST0163,Paid,Shipped,Email
ORD00061,2024-11-16,CUST0079,Paid,Shipped,Instagram
ORD00062,2023-05-02,CUST0005,Paid,Shipped,Google Ads
ORD00063,2023-05-23,CUST0316,Paid,Shipped,Google Ads
ORD00064,2023-04-16,CUST0120,Paid,Delivered,Email
